id,block,family,scheme,lr,seed,epochs,selected_epoch,balanced_accuracy,collapsed4_balanced_accuracy,minimum_recall,collapsed4_minimum_recall,per_class_recall,collapsed4_per_class_recall,per_class_support,collapsed4_per_class_support,elapsed_seconds,all_attempts_elapsed_seconds,block_complete,local_run_dir,remote_run_dir
A1_3_four_class_lr3e-05_s42,A1,GVP + early fusion,four_class,3e-05,42,50,40,0.6936667740549828,0.6936667740549828,0.46875,0.46875,"{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.46875}","{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.7319587628865979, ""Zn"": 0.46875}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}",290.364253282547,290.364253282547,False,/home/mechti/PycharmProjects/DeepMzyme/DeepMzyme_Data/notebook_outputs/campaigns/metal_architecture_pilot_10h_v1_20260915/runs/A1_3_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/runs/A1_3_four_class_lr3e-05_s42
A1_1_four_class_lr3e-05_s42,A1,Only-ESM,four_class,3e-05,42,50,22,0.721227985395189,0.721227985395189,0.59375,0.59375,"{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}","{""Class VIII"": 0.609375, ""Cu"": 0.7333333333333333, ""Mn"": 0.9484536082474226, ""Zn"": 0.59375}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}",206.2681336402893,206.2681336402893,False,/home/mechti/PycharmProjects/DeepMzyme/DeepMzyme_Data/notebook_outputs/campaigns/metal_architecture_pilot_10h_v1_20260915/runs/A1_1_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/runs/A1_1_four_class_lr3e-05_s42
A1_0_four_class_lr3e-05_s42,A1,Only-GVP,four_class,3e-05,42,50,44,0.6471139390034364,0.6471139390034364,0.40625,0.40625,"{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}","{""Class VIII"": 0.640625, ""Cu"": 0.9333333333333333, ""Mn"": 0.6082474226804123, ""Zn"": 0.40625}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}","{""Class VIII"": 64, ""Cu"": 15, ""Mn"": 97, ""Zn"": 32}",270.3429877758026,270.3429877758026,False,/home/mechti/PycharmProjects/DeepMzyme/DeepMzyme_Data/notebook_outputs/campaigns/metal_architecture_pilot_10h_v1_20260915/runs/A1_0_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/runs/A1_0_four_class_lr3e-05_s42
