epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc,train_metal_balanced_acc,train_metal_class_viii_recall,train_metal_collapsed4_acc,train_metal_collapsed4_balanced_acc,train_metal_collapsed4_class_viii_recall,train_metal_collapsed4_confusion_matrix,train_metal_collapsed4_cu_recall,train_metal_collapsed4_macro_f1,train_metal_collapsed4_min_recall,train_metal_collapsed4_mn_recall,train_metal_collapsed4_per_class_recall,train_metal_collapsed4_per_class_support,train_metal_collapsed4_zn_recall,train_metal_confusion_matrix,train_metal_fe_recall,train_metal_macro_f1,train_metal_min_recall,train_metal_mn_recall,train_metal_per_class_recall,train_metal_per_class_support
11,3e-05,0.7346606978492157,1.0,fixed,1.0,,0.7823543969641973,0.7647440639712378,0.7671464681625366,0.7823543969641973,0.6519480519480519,0.7671464681625366,0.7823543969641973,0.6519480519480519,"[[452, 0, 88, 11], [0, 58, 10, 2], [29, 1, 145, 0], [52, 5, 77, 251]]",0.8285714285714286,0.7647440639712378,0.6519480519480519,0.8203266787658802,"{'Mn': 0.8203266787658802, 'Cu': 0.8285714285714286, 'Zn': 0.8285714285714286, 'Class VIII': 0.6519480519480519}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.8285714285714286,"[[452, 0, 88, 11], [0, 58, 10, 2], [29, 1, 145, 0], [52, 5, 77, 251]]",,0.7647440639712378,0.6519480519480519,0.8203266787658802,"{'Mn': 0.8203266787658802, 'Cu': 0.8285714285714286, 'Zn': 0.8285714285714286, 'Class VIII': 0.6519480519480519}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
12,3e-05,0.6981911574666565,1.0,fixed,1.0,,0.7851317557215924,0.780464718611048,0.7883149981498718,0.7851317557215924,0.6961038961038961,0.7883149981498718,0.7851317557215924,0.6961038961038961,"[[470, 0, 62, 19], [0, 57, 9, 4], [37, 2, 136, 0], [61, 3, 53, 268]]",0.8142857142857143,0.780464718611048,0.6961038961038961,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.7771428571428571, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7771428571428571,"[[470, 0, 62, 19], [0, 57, 9, 4], [37, 2, 136, 0], [61, 3, 53, 268]]",,0.780464718611048,0.6961038961038961,0.852994555353902,"{'Mn': 0.852994555353902, 'Cu': 0.8142857142857143, 'Zn': 0.7771428571428571, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
13,3e-05,0.6997868534479592,1.0,fixed,1.0,,0.7893451104249652,0.7943196407872076,0.805249810218811,0.7893451104249652,0.7480519480519481,0.805249810218811,0.7893451104249652,0.7480519480519481,"[[479, 0, 50, 22], [0, 57, 8, 5], [44, 1, 127, 3], [58, 3, 36, 288]]",0.8142857142857143,0.7943196407872076,0.7257142857142858,0.8693284936479129,"{'Mn': 0.8693284936479129, 'Cu': 0.8142857142857143, 'Zn': 0.7257142857142858, 'Class VIII': 0.7480519480519481}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7257142857142858,"[[479, 0, 50, 22], [0, 57, 8, 5], [44, 1, 127, 3], [58, 3, 36, 288]]",,0.7943196407872076,0.7257142857142858,0.8693284936479129,"{'Mn': 0.8693284936479129, 'Cu': 0.8142857142857143, 'Zn': 0.7257142857142858, 'Class VIII': 0.7480519480519481}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
14,3e-05,0.6520560435145288,1.0,fixed,1.0,,0.7880466448252292,0.7263414499615193,0.7544453740119934,0.7880466448252292,0.7662337662337663,0.7544453740119934,0.7880466448252292,0.7662337662337663,"[[400, 8, 105, 38], [0, 63, 6, 1], [18, 19, 133, 5], [21, 15, 54, 295]]",0.9,0.7263414499615193,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.9, 'Zn': 0.76, 'Class VIII': 0.7662337662337663}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.76,"[[400, 8, 105, 38], [0, 63, 6, 1], [18, 19, 133, 5], [21, 15, 54, 295]]",,0.7263414499615193,0.7259528130671506,0.7259528130671506,"{'Mn': 0.7259528130671506, 'Cu': 0.9, 'Zn': 0.76, 'Class VIII': 0.7662337662337663}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
15,3e-05,0.6137983523107864,1.0,fixed,1.0,,0.8138157305489429,0.8072382197229586,0.817104160785675,0.8138157305489429,0.7298701298701299,0.817104160785675,0.8138157305489429,0.7298701298701299,"[[491, 0, 39, 21], [0, 62, 7, 1], [42, 2, 131, 0], [56, 6, 42, 281]]",0.8857142857142857,0.8072382197229586,0.7298701298701299,0.8911070780399274,"{'Mn': 0.8911070780399274, 'Cu': 0.8857142857142857, 'Zn': 0.7485714285714286, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7485714285714286,"[[491, 0, 39, 21], [0, 62, 7, 1], [42, 2, 131, 0], [56, 6, 42, 281]]",,0.8072382197229586,0.7298701298701299,0.8911070780399274,"{'Mn': 0.8911070780399274, 'Cu': 0.8857142857142857, 'Zn': 0.7485714285714286, 'Class VIII': 0.7298701298701299}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
16,3e-05,0.6120148493933517,1.0,fixed,1.0,,0.7880713932165837,0.7609989927448146,0.756985604763031,0.7880713932165837,0.8779220779220779,0.756985604763031,0.7880713932165837,0.8779220779220779,"[[370, 0, 72, 109], [0, 63, 4, 3], [20, 7, 123, 25], [17, 5, 25, 338]]",0.9,0.7609989927448146,0.6715063520871143,0.6715063520871143,"{'Mn': 0.6715063520871143, 'Cu': 0.9, 'Zn': 0.7028571428571428, 'Class VIII': 0.8779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7028571428571428,"[[370, 0, 72, 109], [0, 63, 4, 3], [20, 7, 123, 25], [17, 5, 25, 338]]",,0.7609989927448146,0.6715063520871143,0.6715063520871143,"{'Mn': 0.6715063520871143, 'Cu': 0.9, 'Zn': 0.7028571428571428, 'Class VIII': 0.8779220779220779}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
17,3e-05,0.6061065397854593,1.0,fixed,1.0,,0.8198062554505385,0.7964818354660284,0.8137171864509583,0.8198062554505385,0.7558441558441559,0.8137171864509583,0.8198062554505385,0.7558441558441559,"[[471, 1, 61, 18], [0, 62, 8, 0], [31, 6, 137, 1], [42, 8, 44, 291]]",0.8857142857142857,0.7964818354660284,0.7558441558441559,0.8548094373865699,"{'Mn': 0.8548094373865699, 'Cu': 0.8857142857142857, 'Zn': 0.7828571428571428, 'Class VIII': 0.7558441558441559}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7828571428571428,"[[471, 1, 61, 18], [0, 62, 8, 0], [31, 6, 137, 1], [42, 8, 44, 291]]",,0.7964818354660284,0.7558441558441559,0.8548094373865699,"{'Mn': 0.8548094373865699, 'Cu': 0.8857142857142857, 'Zn': 0.7828571428571428, 'Class VIII': 0.7558441558441559}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
18,3e-05,0.61634133277914,1.0,fixed,1.0,,0.7929448228722276,0.7389703346364555,0.7265029549598694,0.7929448228722276,0.6961038961038961,0.7265029549598694,0.7929448228722276,0.6961038961038961,"[[366, 3, 174, 8], [0, 62, 8, 0], [10, 2, 162, 1], [18, 11, 88, 268]]",0.8857142857142857,0.7389703346364555,0.6642468239564429,0.6642468239564429,"{'Mn': 0.6642468239564429, 'Cu': 0.8857142857142857, 'Zn': 0.9257142857142857, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.9257142857142857,"[[366, 3, 174, 8], [0, 62, 8, 0], [10, 2, 162, 1], [18, 11, 88, 268]]",,0.7389703346364555,0.6642468239564429,0.6642468239564429,"{'Mn': 0.6642468239564429, 'Cu': 0.8857142857142857, 'Zn': 0.9257142857142857, 'Class VIII': 0.6961038961038961}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
19,3e-05,0.5415881541431755,1.0,fixed,1.0,,0.8022614137223938,0.818312332787045,0.8365791440010071,0.8022614137223938,0.8441558441558441,0.8365791440010071,0.8022614137223938,0.8441558441558441,"[[486, 0, 25, 40], [0, 55, 6, 9], [37, 1, 122, 15], [33, 1, 26, 325]]",0.7857142857142857,0.818312332787045,0.6971428571428572,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.7857142857142857, 'Zn': 0.6971428571428572, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.6971428571428572,"[[486, 0, 25, 40], [0, 55, 6, 9], [37, 1, 122, 15], [33, 1, 26, 325]]",,0.818312332787045,0.6971428571428572,0.8820326678765881,"{'Mn': 0.8820326678765881, 'Cu': 0.7857142857142857, 'Zn': 0.6971428571428572, 'Class VIII': 0.8441558441558441}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
20,3e-05,0.5408187950583728,1.0,fixed,1.0,,0.8162700638744196,0.8189904511662742,0.8264182806015015,0.8162700638744196,0.7220779220779221,0.8264182806015015,0.8162700638744196,0.7220779220779221,"[[507, 0, 35, 9], [0, 62, 8, 0], [42, 2, 129, 2], [72, 3, 32, 278]]",0.8857142857142857,0.8189904511662742,0.7220779220779221,0.9201451905626135,"{'Mn': 0.9201451905626135, 'Cu': 0.8857142857142857, 'Zn': 0.7371428571428571, 'Class VIII': 0.7220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}",0.7371428571428571,"[[507, 0, 35, 9], [0, 62, 8, 0], [42, 2, 129, 2], [72, 3, 32, 278]]",,0.8189904511662742,0.7220779220779221,0.9201451905626135,"{'Mn': 0.9201451905626135, 'Cu': 0.8857142857142857, 'Zn': 0.7371428571428571, 'Class VIII': 0.7220779220779221}","{'Mn': 551, 'Cu': 70, 'Zn': 175, 'Class VIII': 385}"
