id,block,family,scheme,lr,seed,epochs,run_dir
R_1_five_class_lr3e-05_s43,R,Only-ESM,five_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_1_five_class_lr3e-05_s43
R_1_five_class_lr0.0001_s43,R,Only-ESM,five_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_1_five_class_lr0.0001_s43
R_2_five_class_lr3e-05_s43,R,GVP + late fusion,five_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_2_five_class_lr3e-05_s43
R_2_five_class_lr0.0001_s43,R,GVP + late fusion,five_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_2_five_class_lr0.0001_s43
R_0_six_class_lr3e-05_s43,R,Only-GVP,six_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_0_six_class_lr3e-05_s43
R_0_six_class_lr0.0001_s43,R,Only-GVP,six_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_0_six_class_lr0.0001_s43
R_1_six_class_lr3e-05_s43,R,Only-ESM,six_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_1_six_class_lr3e-05_s43
R_1_six_class_lr0.0001_s43,R,Only-ESM,six_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_1_six_class_lr0.0001_s43
R_2_six_class_lr3e-05_s43,R,GVP + late fusion,six_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_2_six_class_lr3e-05_s43
R_2_six_class_lr0.0001_s43,R,GVP + late fusion,six_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/R_2_six_class_lr0.0001_s43
RE_3_four_class_lr3e-05_s43,RE,GVP + early fusion,four_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/RE_3_four_class_lr3e-05_s43
RE_3_four_class_lr0.0001_s43,RE,GVP + early fusion,four_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/RE_3_four_class_lr0.0001_s43
RH_4_four_class_lr3e-05_s43,RH,GVP + hybrid fusion,four_class,3e-05,43,50,/content/metal_architecture_pilot_10h_v1/runs/RH_4_four_class_lr3e-05_s43
RH_4_four_class_lr0.0001_s43,RH,GVP + hybrid fusion,four_class,0.0001,43,50,/content/metal_architecture_pilot_10h_v1/runs/RH_4_four_class_lr0.0001_s43
