row_type,family,lr,seed,metric,ring_off_value,ring_on_value,delta_on_minus_off,ring_off_mean,ring_off_sample_sd,ring_on_mean,ring_on_sample_sd,mean_paired_delta,paired_delta_sample_sd,ring_off_run_id,ring_on_run_id
paired_seed,GVP + late fusion,3e-05,42,recall_Zn,0.84375,0.84375,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s42,LATE_LATE_ring1_lr3e-05_s42
paired_seed,GVP + late fusion,3e-05,42,recall_Class VIII,0.5625,0.5625,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s42,LATE_LATE_ring1_lr3e-05_s42
paired_seed,GVP + late fusion,3e-05,43,balanced_accuracy,0.752880691580756,0.752880691580756,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s43,LATE_LATE_ring1_lr3e-05_s43
paired_seed,GVP + late fusion,3e-05,43,recall_Mn,0.7938144329896907,0.7938144329896907,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s43,LATE_LATE_ring1_lr3e-05_s43
paired_seed,GVP + late fusion,3e-05,43,recall_Cu,0.7333333333333333,0.7333333333333333,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s43,LATE_LATE_ring1_lr3e-05_s43
paired_seed,GVP + late fusion,3e-05,43,recall_Zn,0.84375,0.84375,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s43,LATE_LATE_ring1_lr3e-05_s43
paired_seed,GVP + late fusion,3e-05,43,recall_Class VIII,0.640625,0.640625,0.0,,,,,,,LATE_LATE_ring0_lr3e-05_s43,LATE_LATE_ring1_lr3e-05_s43
two_seed_summary,GVP + late fusion,3e-05,,balanced_accuracy,,,,0.7353831078178694,0.024745320266233443,0.7353831078178694,0.024745320266233443,0.0,0.0,,
two_seed_summary,GVP + late fusion,3e-05,,recall_Mn,,,,0.7628865979381443,0.0437385637847349,0.7628865979381443,0.0437385637847349,0.0,0.0,,
two_seed_summary,GVP + late fusion,3e-05,,recall_Cu,,,,0.7333333333333333,0.0,0.7333333333333333,0.0,0.0,0.0,,
