epoch,lr,train_loss,ec_loss_scale,joint_loss_weighting,metal_loss_scale,train_ec_acc,train_ec_balanced_acc,train_ec_level_1_acc,train_ec_level_1_balanced_acc,train_ec_level_1_macro_f1,train_ec_macro_f1,train_ec_per_class_recall,train_ec_per_class_support,train_joint_balanced_acc,train_joint_macro_f1,train_metal_acc
14,3e-05,0.10980354243492985,1.0,fixed,1.0,0.9556898474693298,0.9225282928488608,0.9556898474693298,0.9225282928488608,0.9342458466324761,0.9342458466324761,"{'1': 0.9807692307692307, '2': 0.90625, '3': 0.9821428571428571, '4': 0.891566265060241, '5': 0.696969696969697, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9225282928488608,0.9342458466324761,
15,3e-05,0.09499281138297634,1.0,fixed,1.0,0.9617321491241455,0.9370625176482534,0.9617321491241455,0.9370625176482534,0.9312595873196593,0.9312595873196593,"{'1': 0.9759615384615384, '2': 0.9140625, '3': 0.9841269841269841, '4': 0.927710843373494, '5': 0.7575757575757576, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9370625176482534,0.9312595873196593,
16,3e-05,0.08268844461639835,1.0,fixed,1.0,0.9617321491241455,0.9390652526140908,0.9617321491241455,0.9390652526140908,0.9329941284003275,0.9329941284003275,"{'1': 0.9759615384615384, '2': 0.921875, '3': 0.9841269841269841, '4': 0.9036144578313253, '5': 0.7878787878787878, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9390652526140908,0.9329941284003275,
17,3e-05,0.06862824941923595,1.0,fixed,1.0,0.9707955718040466,0.9492599429400205,0.9707955718040466,0.9492599429400205,0.947619800501496,0.947619800501496,"{'1': 0.9759615384615384, '2': 0.953125, '3': 0.9880952380952381, '4': 0.9397590361445783, '5': 0.7878787878787878, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9492599429400205,0.947619800501496,
18,3e-05,0.061358389784544554,1.0,fixed,1.0,0.9728096723556519,0.95065946108061,0.9728096723556519,0.95065946108061,0.9488361975634154,0.9488361975634154,"{'1': 0.9759615384615384, '2': 0.9609375, '3': 0.9900793650793651, '4': 0.9397590361445783, '5': 0.7878787878787878, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.95065946108061,0.9488361975634154,
19,3e-05,0.04538420172902404,1.0,fixed,1.0,0.9748237729072571,0.9588882114968603,0.9748237729072571,0.9588882114968603,0.9658972514543699,0.9658972514543699,"{'1': 0.9807692307692307, '2': 0.953125, '3': 0.9900793650793651, '4': 0.9397590361445783, '5': 0.8484848484848485, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9588882114968603,0.9658972514543699,
20,3e-05,0.037636052558210724,1.0,fixed,1.0,0.9778448939323425,0.9682589251086454,0.9778448939323425,0.9682589251086454,0.9597214915158169,0.9597214915158169,"{'1': 0.9759615384615384, '2': 0.9609375, '3': 0.9920634920634921, '4': 0.9397590361445783, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9682589251086454,0.9597214915158169,
21,3e-05,0.03586953661427225,1.0,fixed,1.0,0.9859012961387634,0.9781442769555937,0.9859012961387634,0.9781442769555937,0.9666750135951292,0.9666750135951292,"{'1': 0.9855769230769231, '2': 0.984375, '3': 0.9920634920634921, '4': 0.9759036144578314, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9781442769555937,0.9666750135951292,
22,3e-05,0.027357463288704406,1.0,fixed,1.0,0.9838871955871582,0.9765431248327118,0.9838871955871582,0.9765431248327118,0.965823698006033,0.965823698006033,"{'1': 0.9759615384615384, '2': 0.96875, '3': 0.9940476190476191, '4': 0.9879518072289156, '5': 0.9090909090909091, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9765431248327118,0.965823698006033,
23,3e-05,0.022456604286465637,1.0,fixed,1.0,0.9879153966903687,0.9863989191388073,0.9879153966903687,0.9863989191388073,0.968584535639675,0.968584535639675,"{'1': 0.9807692307692307, '2': 0.984375, '3': 0.9940476190476191, '4': 0.9759036144578314, '5': 0.9696969696969697, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9863989191388073,0.968584535639675,
24,3e-05,0.015123820533645414,1.0,fixed,1.0,0.9929506778717041,0.9880836676232546,0.9929506778717041,0.9880836676232546,0.9909859198971088,0.9909859198971088,"{'1': 0.9951923076923077, '2': 1.0, '3': 0.9940476190476191, '4': 0.9879518072289156, '5': 0.9393939393939394, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9880836676232546,0.9909859198971088,
25,3e-05,0.012280268615573863,1.0,fixed,1.0,0.9939576983451843,0.9924126719522589,0.9939576983451843,0.9924126719522589,0.9917981912281083,0.9917981912281083,"{'1': 0.9951923076923077, '2': 1.0, '3': 0.9940476190476191, '4': 0.9879518072289156, '5': 0.9696969696969697, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9924126719522589,0.9917981912281083,
26,3e-05,0.010664985944984723,1.0,fixed,1.0,0.9979858994483948,0.9979953828921128,0.9979858994483948,0.9979953828921128,0.997794382433537,0.997794382433537,"{'1': 1.0, '2': 1.0, '3': 0.998015873015873, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9979953828921128,0.997794382433537,
27,3e-05,0.007228774972057557,1.0,fixed,1.0,0.9969788789749146,0.9977119361800945,0.9969788789749146,0.9977119361800945,0.9968071107197662,0.9968071107197662,"{'1': 1.0, '2': 1.0, '3': 0.996031746031746, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9977119361800945,0.9968071107197662,
28,3e-05,0.005161826694526814,1.0,fixed,1.0,0.9979858994483948,0.9979953828921128,0.9979858994483948,0.9979953828921128,0.997794382433537,0.997794382433537,"{'1': 1.0, '2': 1.0, '3': 0.998015873015873, '4': 0.9879518072289156, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9979953828921128,0.997794382433537,
29,3e-05,0.0035549872666607884,1.0,fixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{'1': 1.0, '2': 1.0, '3': 1.0, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",1.0,1.0,
30,3e-05,0.002848670931477927,1.0,fixed,1.0,0.9989929795265198,0.9997165532879819,0.9989929795265198,0.9997165532879819,0.9990027039126457,0.9990027039126457,"{'1': 1.0, '2': 1.0, '3': 0.998015873015873, '4': 1.0, '5': 1.0, '6': 1.0, '7': 1.0}","{'1': 208, '2': 128, '3': 504, '4': 83, '5': 33, '6': 32, '7': 5}",0.9997165532879819,0.9990027039126457,
