panel,partition,view,weighting,metal,ec1,count_or_weight,p_ec_given_metal,p_metal_given_ec
pinmymetal,train,native6,protein_group,Fe,6,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Fe,7,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Co,1,26.0,0.3561643835616438,0.054279749478079335
pinmymetal,train,native6,protein_group,Co,2,8.0,0.1095890410958904,0.04145077720207254
pinmymetal,train,native6,protein_group,Co,3,16.0,0.2191780821917808,0.047619047619047616
pinmymetal,train,native6,protein_group,Co,4,13.0,0.1780821917808219,0.2826086956521739
pinmymetal,train,native6,protein_group,Co,5,8.0,0.1095890410958904,0.11940298507462686
pinmymetal,train,native6,protein_group,Co,6,2.0,0.0273972602739726,0.14285714285714285
pinmymetal,train,native6,protein_group,Co,7,0.0,0.0,0.0
pinmymetal,train,native6,protein_group,Ni,1,30.0,0.46875,0.06263048016701461
pinmymetal,train,native6,protein_group,Ni,2,11.0,0.171875,0.05699481865284974
pinmymetal,train,native6,protein_group,Ni,3,16.0,0.25,0.047619047619047616
pinmymetal,train,native6,protein_group,Ni,4,2.0,0.03125,0.043478260869565216
pinmymetal,train,native6,protein_group,Ni,5,4.0,0.0625,0.05970149253731343
pinmymetal,train,native6,protein_group,Ni,6,1.0,0.015625,0.07142857142857142
pinmymetal,train,native6,protein_group,Ni,7,0.0,0.0,0.0
pinmymetal,train,common4,site,Mn,1,163.0,0.30185185185185187,0.3319755600814664
pinmymetal,train,common4,site,Mn,2,144.0,0.26666666666666666,0.7309644670050761
pinmymetal,train,common4,site,Mn,3,172.0,0.31851851851851853,0.5
pinmymetal,train,common4,site,Mn,4,7.0,0.012962962962962963,0.15217391304347827
pinmymetal,train,common4,site,Mn,5,48.0,0.08888888888888889,0.6956521739130435
pinmymetal,train,common4,site,Mn,6,6.0,0.011111111111111112,0.4
pinmymetal,train,common4,site,Mn,7,0.0,0.0,0.0
pinmymetal,train,common4,site,Cu,1,56.0,0.875,0.11405295315682282
pinmymetal,train,common4,site,Cu,2,3.0,0.046875,0.015228426395939087
pinmymetal,train,common4,site,Cu,3,4.0,0.0625,0.011627906976744186
pinmymetal,train,common4,site,Cu,4,0.0,0.0,0.0
pinmymetal,train,common4,site,Cu,5,0.0,0.0,0.0
pinmymetal,train,common4,site,Cu,6,0.0,0.0,0.0
pinmymetal,train,common4,site,Cu,7,1.0,0.015625,1.0
pinmymetal,train,common4,site,Zn,1,13.0,0.07471264367816093,0.026476578411405296
pinmymetal,train,common4,site,Zn,2,26.0,0.14942528735632185,0.1319796954314721
pinmymetal,train,common4,site,Zn,3,99.0,0.5689655172413793,0.2877906976744186
pinmymetal,train,common4,site,Zn,4,22.0,0.12643678160919541,0.4782608695652174
