attempt_id,run_id,block,status,started_epoch,ended_epoch,elapsed_seconds,setup_seconds,epoch_seconds,gpu_peak_used_mib,retry_of,returncode,run_dir,log,error
attempt_001,readiness,P,completed,1789441712.6926951,1789441836.8443508,124.15165567398071,,,1300.0,,0,/content/metal_architecture_pilot_10h_v1/preflight_run,/content/metal_architecture_pilot_10h_v1/logs/attempt_001.log,
attempt_002,S_0_four_class_lr3e-05_s42,S,completed,1789442121.7297323,1789442219.8583558,98.12862348556519,92.44244742393494,5.686176061630249,3.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_0_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_002.log,
attempt_003,S_0_five_class_lr3e-05_s42,S,completed,1789442430.031088,1789442528.1589322,98.1278440952301,91.61863589286804,6.5092082023620605,3.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_0_five_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_003.log,
attempt_004,S_0_six_class_lr3e-05_s42,S,completed,1789442568.7121863,1789442666.8398688,98.12768244743347,93.09832882881165,5.029353618621826,3.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_0_six_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_004.log,
attempt_005,S_1_four_class_lr3e-05_s42,S,completed,1789442697.637586,1789442809.789432,112.15184593200684,108.08471393585205,4.067131996154785,697.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_1_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_005.log,
attempt_006,S_3_four_class_lr3e-05_s42,S,completed,1789442858.4663894,1789442972.6189332,114.15254378318787,108.2566704750061,5.895873308181763,805.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_3_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_006.log,
attempt_007,S_2_four_class_lr3e-05_s42,S,completed,1789443003.7635372,1789443117.9154644,114.15192723274231,108.45930576324463,5.692621469497681,807.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_2_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_007.log,
attempt_008,S_4_four_class_lr3e-05_s42,S,completed,1789443167.6019673,1789443281.7547057,114.15273833274841,108.088632106781,6.064106225967407,807.0,,0,/content/metal_architecture_pilot_10h_v1/runs/S_4_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_008.log,
attempt_009,A1_0_four_class_lr3e-05_s42,A1,completed,1789443319.5216172,1789443589.864605,270.3429877758026,93.15577816963196,3.543744192123413,821.0,,0,/content/metal_architecture_pilot_10h_v1/runs/A1_0_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_009.log,
attempt_010,A1_1_four_class_lr3e-05_s42,A1,completed,1789443615.889687,1789443822.1578207,206.2681336402893,107.94324445724487,1.9664977836608886,699.0,,0,/content/metal_architecture_pilot_10h_v1/runs/A1_1_four_class_lr3e-05_s42,/content/metal_architecture_pilot_10h_v1/logs/attempt_010.log,
